existing_node,match,new_row,final_node,similarity
TAKEOFF,AFTER TAKEOFF,11,AFTER TAKEOFF,1.0
SIDE OF PARKED AIRCRAFT,PARKED AIRCRAFT,17,PARKED AIRCRAFT,1.0000001
TAKEOFF,AFTER TAKEOFF,25,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,34,AFTER TAKEOFF,1.0
SIDE OF PARKED AIRCRAFT,PARKED AIRCRAFT,42,PARKED AIRCRAFT,1.0000001
TAKEOFF,AFTER TAKEOFF,50,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,55,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,64,AFTER TAKEOFF,1.0
LIFTOFF,AFTER LIFTOFF,69,AFTER LIFTOFF,1.0
SAME RUNWAY,RUNWAY,69,RUNWAY,1.0
SIDE OF RUNWAY,RUNWAY,69,RUNWAY,1.0
