method,total_questions,avg_bleu,avg_meteor,avg_rouge_l,avg_rouge_1,avg_rouge_2,avg_semantic_similarity,exact_match_rate
base_mistral-nemo-12b-it_kg_gs100,150,0.003928751737768449,0.0,0.24356641781749133,0.2679439690683656,0.07492683932281455,0.12209737241948744,0.0
base_gemma-3-27b-it_kg_gs100,150,0.0032031274935954744,0.0,0.27358088772354183,0.2942385234777284,0.09671618222392217,0.12792703938100358,0.0
base_phi-4-14b_kg_gs100,150,0.0005666532945868659,0.0,0.09986875274571874,0.1134981185002393,0.020134333792286577,0.05425694094998603,0.0
kg_mistral-nemo-12b-it_kg_gpt-4o300,150,0.0038286665174336936,0.0,0.24647785601328612,0.2713430505571472,0.08374911439448289,0.12429800815125018,0.0
kg_phi-4-14b_kg_gpt-4ocum_500,150,0.0006920570911856375,0.0,0.09503256215888904,0.10878841074056993,0.020014240887462266,0.052629730006087234,0.0
kg_phi-4-14b_kg_gpt-4ocum_200,150,0.0006438772664567704,0.0,0.09597772499039178,0.10844829683798592,0.018598148237156865,0.05369514505939941,0.0
kg_gemma-3-27b-it_kg_gpt-4o100,150,0.00323334361188719,0.0,0.27796918512037017,0.2990740322855889,0.0987279612181573,0.1249041090469367,0.0
kg_mistral-nemo-12b-it_kg_gpt-4ocum_300,150,0.004372254352477898,0.0,0.24480735516927543,0.2696750002608207,0.08791021876109595,0.1208993854266487,0.0
kg_gemma-3-27b-it_kg_gpt-4ocum_400,150,0.003018804274553083,0.0,0.2696186311817801,0.29190587041039767,0.09360491883990336,0.1241314866076476,0.0
kg_mistral-nemo-12b-it_kg_gpt-4ocum_500,150,0.0044714491502674805,0.0,0.2498936653487364,0.2767672864287807,0.08582951616666787,0.12587865540184684,0.0
kg_phi-4-14b_kg_gpt-4ocum_400,150,0.0005894963121739385,0.0,0.09622962478582908,0.11012742297520794,0.020243155105272408,0.05537875028266772,0.0
kg_mistral-nemo-12b-it_kg_gpt-4ocum_200,150,0.00398809908135117,0.0,0.25359403667290326,0.2801463127032228,0.09050807665867375,0.12778669269150328,0.0
kg_mistral-nemo-12b-it_kg_gpt-4o100,150,0.003943702629838094,0.0,0.24700671033792504,0.2708407954716022,0.0773668979001736,0.12031862231695298,0.0
kg_gemma-3-27b-it_kg_gpt-4o300,150,0.003469715999206379,0.0,0.2686283442117932,0.29195778566816966,0.09406626975822022,0.12124554748465996,0.0
kg_mistral-nemo-12b-it_kg_gpt-4ocum_400,150,0.004180113613547719,0.0,0.25497924268403227,0.2796419659848218,0.07634077827226032,0.12916880569318998,0.0
kg_gemma-3-27b-it_kg_gpt-4ocum_200,150,0.0032402017988471103,0.0,0.26980458822057507,0.290876283733649,0.09720403395480794,0.12742816785324526,0.0
kg_phi-4-14b_kg_gpt-4o100,150,0.0005686918334501154,0.0,0.09480755128213031,0.10937053726565348,0.01817429148004444,0.052072615325368846,0.0
kg_gemma-3-27b-it_kg_gpt-4ocum_500,150,0.0030279969131202537,0.0,0.2702036405503115,0.2919515483585908,0.09578619246059907,0.1282507312157422,0.0
kg_phi-4-14b_kg_gpt-4ocum_300,150,0.0005206131679723708,0.0,0.0924246287725569,0.10556208423538369,0.019057499303750294,0.054007037662216394,0.0
kg_gemma-3-27b-it_kg_gpt-4ocum_300,150,0.003528658494904388,0.0,0.26547096008757515,0.2878633152384442,0.09634241466594406,0.12098864287873577,0.0
kg_phi-4-14b_kg_gpt-4o300,150,0.0005682870612048382,0.0,0.0957706648923515,0.11091996027812694,0.01948988863504646,0.0542191985819425,0.0
